id,order_id,promo_id,discount_amount
170,8064,25,46.67
171,768,41,8.36
172,5906,26,16.57
173,11143,36,39.65
174,33550,11,96.89
175,30460,33,44.63
176,12728,38,2.38
177,3531,21,32.59
178,16505,47,5.15
179,31052,25,16.69
180,47675,26,17.66
181,10337,38,4.08
182,36480,19,13.71
183,37141,4,30.01
184,20560,33,84.15
185,48195,20,57.47
186,48080,23,19.75
187,42495,34,3.75
188,48953,38,4.69
189,30242,23,7.28
190,7802,33,74.99
191,48803,15,20.0
192,35539,48,47.91
193,46846,25,75.24
194,22515,13,53.95
195,3266,28,73.91
196,37763,22,45.72
197,25468,4,48.64
198,33985,37,16.47
199,1801,20,103.95
200,5730,10,22.73
201,49078,13,79.16
202,22363,39,67.49
203,8387,32,29.0
204,15263,12,43.24
205,13047,23,34.88
206,10400,33,107.75
207,24228,44,86.42
208,3370,39,8.78
209,18390,6,40.64
210,40629,3,19.15
211,2051,46,36.67
212,10902,22,62.18
213,18050,50,76.78
214,17616,20,80.27
215,8051,50,229.91
216,31026,25,51.18
217,5012,6,23.51
218,41500,3,88.16
219,4797,6,176.21
220,34080,15,103.83
221,24331,13,15.53
222,39534,25,14.44
223,17955,29,114.1
224,13696,35,25.65
225,7015,49,50.89
226,15062,43,90.66
227,2127,8,17.93
228,41378,34,0.66
229,9217,42,23.66
230,16829,34,7.25
231,8999,34,10.89
232,39153,43,18.28
233,10617,31,22.99
234,27990,20,94.03
235,35264,1,55.03
236,2621,47,9.05
237,21080,25,35.06
238,41964,18,30.25
239,48555,23,21.96
240,21093,2,2.71
241,18757,31,34.56
242,26220,28,42.25
243,46640,23,20.58
244,40759,35,24.11
245,43671,5,90.78
246,15046,18,18.96
247,15467,11,62.49
248,29847,50,28.37
249,2128,17,2.04
250,44883,46,76.72
251,11749,4,65.25
252,41285,2,32.0
253,24271,2,10.31
254,40799,31,5.3
255,8102,45,48.8
256,21383,41,24.0
257,1922,23,40.08
258,41782,17,8.16
259,11028,8,13.86
260,30545,25,39.96
261,10167,46,72.73
262,27153,14,15.79
263,30282,37,89.39
264,1143,9,14.71
265,47924,16,30.39
266,20395,29,37.77
267,41397,43,70.59
268,34,13,96.95
269,41016,21,65.65
270,31253,29,28.01
271,1526,30,90.82
272,40134,37,4.99
273,12245,25,33.52
274,32120,26,19.01
275,15936,43,44.79
276,25702,25,18.96
277,35085,5,55.63
278,46332,31,58.17
279,41373,3,46.53
280,10127,4,4.28
281,12920,9,40.3
282,36045,34,1.42
283,16760,14,65.2
284,13567,14,96.0
285,33257,28,31.0
286,17271,22,100.93
287,10460,1,76.57
288,38476,30,36.41
289,33663,29,7.22
290,33388,29,106.32
291,37126,19,9.58
292,36438,49,22.83
293,3567,22,107.01
294,47634,4,74.05
295,27044,8,11.13
296,43677,36,16.8
297,26257,38,95.69
298,47654,47,8.95
299,19753,7,79.07
300,48682,17,25.01
301,40186,32,118.29
302,21790,3,132.17
303,13847,16,27.44
304,28533,32,76.5
305,34299,19,90.92
306,21079,48,177.55
307,42694,4,31.82
308,1355,39,5.99
309,44014,25,18.86
310,2303,24,48.07
311,6135,34,0.8
312,49924,12,31.88
313,48076,18,101.5
314,36312,41,24.79
315,4149,31,27.94
316,16072,18,53.72
317,1026,22,62.47
318,35392,21,57.66
319,22534,29,36.98
320,7592,26,26.81
321,43232,32,2.95
322,40315,22,89.91
323,35023,8,33.77
324,25479,49,4.23
325,6538,40,199.88
326,34873,2,0.88
327,31694,43,41.92
328,41087,34,8.28
329,6612,33,47.84
330,46446,42,43.11
331,28725,23,28.42
332,22081,16,37.42
333,19172,22,76.84
334,33953,16,104.94
335,29424,9,9.92
336,38863,25,50.52
337,37767,22,30.04
338,37169,22,50.72
339,12108,34,2.29
340,40828,44,42.39
341,12891,39,17.61
342,43138,39,85.49
343,45865,40,94.19
344,1609,12,0.55
345,45460,21,4.51
346,30694,43,59.61
347,906,1,32.22
348,31345,4,5.28
349,45111,13,51.64
350,31669,12,35.76
351,7785,6,125.83
352,34600,40,37.28
353,39141,6,160.78
354,19490,45,41.8
355,39864,50,101.94
356,46993,13,14.41
357,20064,42,78.95
358,12764,48,48.79
359,5325,18,10.12
360,38375,1,104.67
361,6256,50,21.65
362,22731,18,101.95
363,10271,25,23.56
364,10934,2,24.26
365,29488,9,23.01
366,14859,38,45.98
367,29870,18,35.07
368,45894,31,26.48
369,9882,32,56.12
370,30539,15,25.39
371,26346,11,46.48
372,1818,29,22.26
373,39766,37,110.42
374,22989,2,8.97
375,36922,5,13.21
376,44964,29,31.6
377,21169,49,58.23
378,35679,28,105.01
379,22400,3,98.38
380,7908,48,47.36
381,33,21,29.64
382,4293,39,7.16
383,19439,13,13.21
384,49980,1,3.13
385,46100,38,15.18
386,44837,2,31.23
387,41360,46,79.37
388,36843,4,70.27
389,43109,40,34.74
390,2045,32,10.36
391,48560,29,13.45
392,2565,6,15.13
393,49127,29,29.04
394,24740,25,33.75
395,16945,31,70.34
396,29838,28,35.93
397,4314,36,28.3
398,19576,19,62.85
399,3655,15,38.55
400,10760,2,12.72
401,23097,21,213.43
402,27859,22,36.79
403,16461,42,6.1
404,13972,43,7.71
405,15437,39,20.23
406,23862,9,25.83
407,3838,14,72.44
408,34977,38,86.64
409,36348,38,29.75
410,6105,6,34.66
411,30809,26,66.12
412,32200,15,21.68
413,44954,7,34.32
414,10774,13,44.91
415,23226,25,10.44
416,37951,8,25.56
417,22153,16,23.61
418,42396,15,41.84
419,22360,42,46.9
420,26627,20,44.99
421,28686,33,39.29
422,36859,31,33.4
423,23865,3,33.06
424,37733,46,107.51
425,24139,49,14.75
426,49747,4,39.17
427,10843,42,150.89
428,30629,41,7.73
429,1854,31,23.14
430,42764,9,23.12
431,4975,19,32.46
432,30168,34,4.84
433,14542,14,239.28
434,44209,40,137.56
435,4461,2,32.86
436,23907,49,5.32
437,46068,21,100.83
438,37534,21,49.57
439,30910,18,7.29
440,38361,27,27.38
441,8467,37,23.7
442,40418,1,55.44
443,29592,17,23.98
444,43354,6,148.36
445,10025,8,5.31
446,39798,9,7.84
447,23880,4,55.22
448,1757,22,59.69
449,12529,34,14.51
450,5132,44,24.61
451,6484,39,14.59
452,16349,13,25.41
453,4267,38,5.51
454,11069,11,114.65
455,49100,32,37.25
456,8202,30,124.07
457,26899,10,10.35
458,25551,25,12.75
459,4480,47,3.95
460,32877,21,49.05
461,22694,14,19.02
462,13058,32,69.37
463,5372,26,94.52
464,14323,8,10.44
465,19597,33,108.52
466,6900,9,8.6
467,1994,38,48.33
468,7555,41,6.61
469,48973,16,13.66
470,1530,20,6.48
471,15729,46,45.6
472,19220,26,185.3
473,3850,50,61.13
474,26964,13,26.03
475,33417,44,67.0
476,33943,29,42.3
477,42975,7,98.9
478,3769,1,36.55
479,19997,15,141.49
480,12199,44,57.34
481,17310,47,2.57
482,36945,24,19.73
483,34636,32,117.46
484,22850,32,13.96
485,15341,17,11.84
486,18492,47,10.23
487,10204,25,15.29
488,14637,27,12.02
489,31854,15,37.23
490,33378,34,9.9
491,37351,33,12.21
492,40233,48,2.85
493,25930,35,11.28
494,2926,47,16.1
495,8646,8,16.45
496,48839,27,31.25
497,40934,36,45.15
498,8480,4,18.98
499,10457,18,98.99
500,13960,17,19.66
501,49142,18,38.92
502,12698,44,53.47
503,20834,45,69.08
504,35284,43,11.97
505,24539,9,17.23
506,2530,50,92.57
507,15916,29,12.31
508,17255,42,190.94
509,42185,31,70.1
510,8520,34,9.83
511,48594,30,13.0
512,30210,6,75.78
513,48312,31,9.9
514,17672,5,59.64
515,36290,16,20.62
516,27010,12,20.23
517,8265,47,12.36
518,8808,1,5.17
519,12068,22,40.09
520,44734,42,64.88
521,31362,5,73.31
522,10121,41,28.44
523,29049,5,30.37
524,40107,22,36.46
525,12020,29,30.33
526,22300,12,23.56
527,23625,49,7.94
528,27687,49,18.13
529,31523,5,47.09
530,8081,41,5.44
531,21996,8,43.38
532,43356,41,2.57
533,31,30,49.97
534,19446,21,33.91
535,43936,44,54.07
536,40669,33,51.61
537,37848,4,69.47
538,19809,40,27.0
539,22306,49,39.15
540,23900,33,74.01
541,11651,46,33.72
542,2068,11,8.35
543,40282,5,61.14
544,20625,2,19.82
545,5273,21,92.52
546,38492,31,8.52
547,15293,38,11.57
548,36928,22,5.16
549,18278,2,8.07
550,38700,50,15.59
551,1478,15,16.64
552,2740,20,73.77
553,25119,26,75.53
554,49528,31,17.64
555,15771,23,17.88
556,28510,37,16.94
557,14772,1,56.58
558,1589,34,5.07
559,34799,24,72.22
560,2395,8,18.88
561,41885,38,42.54
562,17459,10,15.82
563,27238,35,35.08
564,12464,15,66.53
565,39452,5,32.49
566,16761,30,34.84
567,12363,36,12.66
568,10664,43,38.07
569,48808,48,44.64
570,33889,45,3.79
571,34627,31,14.67
572,9781,24,23.74
573,203,38,16.91
574,44488,49,44.61
575,37484,30,45.46
576,44072,1,4.33
577,26265,5,19.1
578,19376,10,30.86
579,2178,32,54.19
580,48484,25,8.1
581,38372,21,35.57
582,6120,39,29.95
583,35506,9,16.51
584,37517,8,19.32
585,17714,42,61.61
586,6625,8,17.88
587,5792,13,47.63
588,3457,50,54.23
589,23386,26,5.61
590,35096,46,23.7
591,11799,2,19.51
592,15964,46,141.56
593,37820,23,3.26
594,32924,13,8.98
595,539,45,6.51
596,3185,23,25.61
597,20565,45,94.32
598,13429,4,8.42
599,34407,12,29.84
600,2677,6,35.82
601,17684,37,8.92
602,22253,28,42.81
603,25589,30,74.49
604,49865,49,9.22
605,19480,22,168.9
606,21976,35,34.16
607,33024,44,8.91
608,8504,44,19.64
609,42679,6,52.85
610,33711,46,18.8
611,26802,25,104.35
612,40841,31,44.89
613,28909,31,39.99
614,4644,12,15.09
615,40295,41,26.26
616,19262,18,8.15
617,12285,2,23.37
618,5903,6,21.76
619,3156,29,59.25
620,133,4,95.75
621,14911,46,53.17
622,6987,43,26.71
623,38002,26,22.55
624,37309,11,46.91
625,9030,8,20.67
626,35251,6,48.78
627,28138,47,23.72
628,23512,8,16.81
629,5279,16,66.94
630,34448,46,51.98
631,22412,36,41.96
632,16750,45,29.0
633,16288,43,51.86
634,25139,19,94.61
635,47891,35,48.29
636,32009,47,8.92
637,3588,16,67.48
638,22051,47,3.27
639,23641,37,70.25
640,48267,42,71.75
641,45550,10,29.32
642,45192,15,32.0
643,14038,47,10.24
644,43676,24,52.8
645,32133,29,68.3
646,918,4,27.83
647,13128,15,65.29
648,31165,31,43.38
649,47313,1,4.4
650,33320,14,12.68
651,16131,23,28.06
652,17037,15,50.81
653,34790,9,7.47
654,27350,5,104.16
655,47593,38,20.07
656,22297,35,45.22
657,8782,38,58.1
658,46874,17,14.48
659,39382,10,20.58
660,26193,48,79.64
661,14940,18,14.87
662,26027,4,70.88
663,41274,13,18.22
664,11130,46,185.43
665,29132,29,17.74
666,19539,48,32.22
667,18406,35,4.82
668,12203,26,88.27
669,10439,8,23.55
670,49684,33,90.15
671,22884,28,71.65
672,28016,35,55.31
673,27682,12,6.37
674,18969,29,25.77
675,32210,4,23.89
676,30129,19,23.45
677,37997,3,45.77
678,6502,13,88.77
679,23074,27,66.12
680,29427,9,14.0
681,26200,42,29.89
682,24270,34,17.52
683,42417,48,108.77
684,41323,38,73.12
685,44032,18,13.15
686,42172,10,5.08
687,12064,27,30.72
688,26981,26,101.46
689,37316,17,9.22
690,41513,34,22.07
691,8915,8,1.19
692,20338,39,11.86
693,40881,46,218.34
694,46870,4,35.1
695,28056,39,20.12
696,39386,48,17.89
697,26661,2,25.16
698,35127,8,40.88
699,29114,25,22.81
700,14617,13,28.64
701,48830,39,30.63
702,21046,39,1.06
703,19378,11,7.53
704,21337,23,4.71
705,7965,47,2.62
706,45713,11,10.46
707,18038,36,50.31
708,37778,37,64.76
709,7092,38,6.16
710,32380,31,50.29
711,49908,16,10.9
712,14097,11,47.57
713,30914,8,6.13
714,30128,35,35.47
715,32091,3,47.84
716,37976,13,16.38
717,31916,35,28.04
718,42932,48,85.94
719,6206,48,27.14
720,4377,6,24.99
721,32331,6,114.42
722,28743,21,53.8
723,30857,44,87.96
724,19725,36,13.93
725,25477,8,19.94
726,43129,21,25.88
727,29010,31,23.17
728,7482,34,7.3
729,12145,13,77.53
730,3291,25,47.07
731,32026,16,40.74
732,12695,22,75.99
733,13529,44,11.88
734,27479,32,44.28
735,49602,34,14.07
736,17128,18,28.51
737,28611,10,19.3
738,1800,15,82.0
739,37563,5,18.31
740,12082,48,35.71
741,41344,10,56.17
742,19212,42,111.37
743,20720,11,43.64
744,39304,46,23.85
745,25129,8,39.62
746,12627,47,7.87
747,36144,38,65.37
748,33458,19,107.33
749,4379,8,8.55
750,32545,38,8.9
751,39691,4,56.3
752,43808,7,41.89
753,33751,30,19.57
754,6521,48,36.28
755,47690,40,96.99
756,35976,39,36.09
757,4099,10,19.86
758,37742,34,2.76
759,14915,19,43.58
760,24326,3,65.36
761,16861,15,35.52
762,16429,27,42.44
763,28060,44,1.95
764,9018,50,47.36
765,25358,17,13.98
766,12675,14,10.19
767,13293,10,16.03
768,38305,19,18.0
769,31366,23,77.44
770,14050,16,26.81
771,48961,41,21.61
772,49641,38,10.48
773,13668,11,66.6
774,43085,4,19.53
775,4484,3,95.58
776,29082,12,12.26
777,34688,42,55.27
778,40574,34,8.64
779,38795,34,6.88
780,31844,23,12.79
781,8578,17,27.86
782,27753,40,26.05
783,30725,1,57.22
784,13613,15,36.13
785,39280,34,13.26
786,30655,50,51.04
787,35547,44,9.93
788,18613,22,63.31
789,48188,2,21.1
790,40022,39,16.79
791,33054,49,39.11
792,35556,39,10.32
793,19269,37,9.63
794,12452,44,75.09
795,15045,42,57.45
796,45007,35,84.04
797,35229,41,2.56
798,5480,35,51.72
799,39272,14,111.65
800,30251,41,22.49
801,27717,19,24.24
802,42599,47,6.01
803,39545,15,6.97
804,42688,39,21.81
805,12386,43,18.89
806,38955,35,12.4
807,4153,45,46.7
808,17629,29,6.16
809,38860,3,57.96
810,17998,2,24.73
811,22069,30,99.62
812,48003,26,17.63
813,46842,47,35.17
814,38286,28,43.01
815,31172,26,53.63
816,12455,1,38.73
817,30842,6,16.82
818,17752,17,1.58
819,7775,6,82.96
820,3465,23,14.85
821,43575,40,7.97
822,29858,3,99.83
823,5515,48,35.02
824,995,38,14.61
825,16352,2,38.96
826,5769,34,7.99
827,45976,15,30.33
828,27502,36,73.08
829,9749,18,19.8
830,35154,50,42.27
831,40276,28,21.02
832,34120,15,29.57
833,20222,26,40.86
834,10848,47,12.85
835,4336,22,51.19
836,7583,23,27.64
837,29239,39,4.57
838,6905,40,134.44
839,24121,7,108.37
840,14361,45,4.95
841,49926,44,3.93
842,3351,13,17.61
843,26689,34,3.04
844,33838,24,52.57
845,18566,18,19.32
846,5592,41,24.59
847,25669,19,18.0
848,13464,10,29.62
849,25577,42,22.21
850,43593,17,3.59
851,13027,20,47.29
852,24574,44,15.11
853,27403,41,10.94
854,8019,26,66.75
855,30485,16,96.34
856,1195,20,17.52
857,35199,7,106.18
858,41725,44,22.33
859,34989,26,102.47
860,11974,21,41.79
861,9797,29,26.69
862,48282,8,11.97
863,7298,22,27.57
864,33824,8,36.66
865,34945,15,137.05
866,41129,25,23.22
867,9029,23,10.94
868,49636,40,29.31
869,10261,1,66.8
870,38067,32,33.97
871,17167,38,24.82
872,49097,40,13.39
873,20864,46,31.76
874,48480,17,1.53
875,1645,5,70.82
876,34481,43,31.75
877,48512,10,38.49
878,27049,38,8.68
879,18428,48,54.17
880,35870,5,9.26
881,45840,9,49.52
882,27002,38,49.13
883,33295,7,49.37
884,36261,41,39.29
885,13699,30,7.33
886,25105,36,37.27
887,20518,24,64.62
888,17342,41,2.15
889,41685,48,84.32
890,32931,45,48.95
891,16345,20,30.32
892,30102,4,24.54
893,18545,42,39.37
894,41543,49,40.89
895,25954,27,43.17
896,40273,38,5.38
897,33392,38,35.86
898,14692,16,35.56
899,45466,1,1.95
900,8863,13,52.49
901,10228,4,20.11
902,4678,10,17.84
903,8438,6,128.97
904,48773,48,43.06
905,27069,34,0.94
906,46141,13,6.61
907,20506,12,23.41
908,23718,20,123.47
909,46394,9,20.7
910,21179,30,84.47
911,16867,10,50.85
912,13200,43,11.01
913,41169,41,0.49
914,32493,35,68.93
915,8052,35,42.35
916,4207,50,40.06
917,11589,45,36.03
918,2928,32,50.9
919,43414,33,13.09
920,542,46,125.38
921,34919,40,89.36
922,554,24,4.49
923,44255,11,3.7
924,10282,36,43.05
925,48082,22,111.74
926,23111,16,13.77
927,27156,35,64.74
928,32580,49,14.79
929,41679,48,48.42
930,39497,37,6.81
931,48338,40,75.37
932,21215,6,97.34
933,27789,46,86.03
934,7956,38,34.5
935,33687,35,26.44
936,45499,26,9.93
937,37638,20,47.39
938,47184,7,63.66
939,44560,28,178.87
940,20539,10,37.66
941,24191,2,35.8
942,36980,15,51.71
943,35495,32,39.55
944,17603,16,62.22
945,21836,43,41.66
946,15812,24,67.28
947,48202,36,42.88
948,43686,7,111.38
949,45668,8,22.24
950,35536,8,8.97
951,42058,3,14.07
952,35562,22,6.17
953,17194,24,109.12
954,38300,14,31.23
955,11108,15,15.21
956,17585,23,46.42
957,43243,50,92.48
958,26208,26,59.93
959,18996,5,42.85
960,15827,32,18.58
961,35070,24,77.14
962,2661,6,13.08
963,9043,15,43.46
964,12137,4,28.56
965,20362,46,43.65
966,44048,41,2.32
967,14298,5,106.84
968,22843,49,28.85
969,15751,48,25.57
970,33552,38,33.03
971,48927,38,15.93
972,1021,43,17.27
973,31379,17,8.54
974,35322,40,30.53
975,12589,33,37.52
976,25320,45,52.01
977,45999,16,44.61
978,48545,49,10.54
979,23985,39,32.1
980,4468,44,122.28
981,46796,16,34.75
982,21947,4,5.5
983,45352,16,22.91
984,8366,47,8.3
985,33175,2,6.32
986,28047,31,27.53
987,37963,14,78.85
988,25938,5,90.09
989,44146,2,63.4
990,16517,44,42.06
991,27954,2,24.85
992,40197,25,15.62
993,28024,13,72.64
994,42629,44,14.91
995,35655,34,9.84
996,26434,8,10.88
997,34732,23,26.11
998,2860,17,5.59
999,26091,36,22.98
1000,30149,26,188.29
1001,31160,18,85.24
1002,40454,15,97.05
1003,44181,23,32.31
1004,28670,48,61.54
1005,37031,6,46.75
1006,32981,45,13.51
1007,16506,32,61.73
1008,33244,45,12.71
1009,33734,42,48.67
1010,6007,1,62.53
1011,40546,21,10.54
1012,31779,42,104.35
1013,25970,20,44.27
1014,12515,18,34.32
1015,36421,27,9.03
1016,6190,47,18.63
1017,9429,14,40.37
1018,21878,7,48.76
1019,23368,2,14.43
1020,24242,24,17.93
1021,41818,38,10.21
1022,14462,28,35.29
1023,27578,26,161.59
1024,1244,47,7.64
1025,19487,15,5.74
1026,23438,21,104.28
1027,26675,42,4.5
1028,40666,10,49.66
1029,20783,45,50.37
1030,40974,6,66.54
1031,20724,32,27.92
1032,27228,19,12.27
1033,29717,34,0.72
1034,34816,13,30.55
1035,37429,3,49.38
1036,23466,46,82.48
1037,47848,8,24.25
1038,43435,50,98.76
1039,36608,26,50.95
1040,45488,18,90.12
1041,33210,26,17.67
1042,46419,27,28.02
1043,28984,39,15.06
1044,47334,13,57.48
1045,24801,21,37.94
1046,35355,1,25.89
1047,29777,32,25.15
1048,36345,45,80.12
1049,44092,11,14.23
1050,27713,26,94.98
1051,31610,11,42.75
1052,9184,50,44.55
1053,48000,9,16.86
1054,45517,40,33.63
1055,36050,6,131.06
1056,8247,20,11.92
1057,30090,23,91.01
1058,16082,4,49.21
1059,14862,37,27.17
1060,40870,4,3.6
1061,2714,20,89.26
1062,3657,35,74.16
1063,340,12,15.51
1064,25904,19,13.57
1065,25117,25,18.05
1066,18423,2,6.47
1067,10756,24,66.18
1068,22394,2,22.22
1069,4569,11,66.06
1070,35574,19,46.36
1071,24802,15,23.54
1072,33322,43,42.08
1073,25848,30,17.3
1074,3000,16,25.82
1075,36992,37,84.29
1076,34998,35,35.85
1077,4069,42,109.97
1078,43147,28,50.7
1079,44199,31,16.07
1080,33190,30,76.35
1081,47510,35,7.08
1082,45260,44,85.65
1083,32608,35,46.39
1084,47021,3,77.11
1085,48005,41,11.56
1086,43404,23,33.71
1087,2479,6,129.16
1088,33963,10,20.9
1089,15614,5,76.39
1090,26941,38,36.93
1091,16741,35,56.76
1092,9917,16,7.69
1093,15113,8,7.98
1094,29940,39,6.6
1095,32341,45,49.14
1096,17446,11,4.36
1097,26019,41,13.39
1098,39778,35,60.02
1099,23980,49,9.42
1100,49467,27,47.68
1101,2134,19,21.69
1102,11563,12,21.36
1103,15988,48,38.88
1104,30052,10,51.3
1105,41535,44,70.44
1106,25842,42,145.18
1107,9603,34,7.55
1108,8738,47,6.67
1109,9328,20,40.66
1110,33904,15,100.24
1111,29057,43,13.64
1112,31098,22,31.59
1113,18302,23,75.6
1114,8983,19,38.8
1115,2354,6,99.35
1116,22952,12,9.4
1117,43675,9,10.4
1118,35018,26,116.06
1119,18004,28,72.8
1120,46547,24,83.84
1121,13022,4,42.73
1122,9274,9,16.84
1123,40588,43,26.6
1124,17084,22,73.03
1125,6866,18,44.37
1126,3999,24,76.42
1127,42128,14,115.99
1128,32317,8,13.05
1129,22305,27,11.7
1130,39090,12,13.37
1131,776,21,129.32
1132,43941,7,8.17
1133,6409,16,44.64
1134,43688,19,24.14
1135,23298,37,54.13
1136,45011,15,49.09
1137,47656,48,28.63
1138,14299,45,51.96
1139,3384,40,90.87
1140,31951,32,12.82
1141,1866,35,22.96
1142,1848,4,40.64
1143,13156,25,36.91
1144,26503,23,38.83
1145,1688,50,98.41
1146,28946,28,48.34
1147,41729,10,6.03
1148,9931,41,7.53
1149,20997,25,6.73
1150,17195,29,36.27
1151,12761,9,31.56
1152,4638,7,158.39
1153,19959,44,150.43
1154,3293,49,33.5
1155,11423,16,37.76
1156,30404,19,40.61
1157,26913,40,178.52
1158,33443,1,55.54
1159,24194,23,28.15
1160,45436,25,2.23
1161,26603,43,11.27
1162,43703,43,82.19
1163,11146,43,14.81
1164,42299,23,16.15
1165,19363,49,17.85
1166,38298,40,17.39
1167,3853,27,13.98
1168,8931,16,47.38
1169,47975,17,2.86
1170,11981,40,37.88
1171,37782,9,15.57
1172,9365,46,11.88
1173,35605,2,10.97
1174,42916,42,84.37
1175,2875,1,50.2
1176,24492,27,3.49
1177,3255,24,62.8
1178,14342,5,4.78
1179,11698,29,15.21
1180,29365,45,40.51
1181,48848,33,116.05
1182,16003,24,26.38
1183,38692,4,18.19
1184,3695,24,128.19
1185,23752,46,44.74
1186,46205,20,24.05
1187,18587,18,82.2
1188,16437,15,18.96
1189,29166,3,12.57
1190,46606,4,5.98
1191,13397,22,103.14
1192,46121,7,37.4
1193,31221,8,14.7
1194,33529,50,90.98
1195,33006,28,6.14
1196,49139,30,13.67
1197,23798,32,41.78
1198,6048,4,118.92
1199,17007,40,38.89
1200,7813,21,5.66
1201,9460,35,40.79
1202,35936,48,15.96
1203,35782,46,86.89
1204,9194,43,80.09
1205,21125,44,7.52
1206,47603,38,15.62
1207,45613,6,40.02
1208,49679,6,34.76
1209,24899,19,27.88
1210,20013,44,71.7
1211,11562,25,52.36
1212,29116,48,62.65
1213,40036,29,20.83
1214,34668,30,26.7
1215,27259,22,53.31
1216,15243,38,27.76
1217,29715,43,14.87
1218,393,19,51.34
1219,960,16,36.41
1220,29795,20,2.61
1221,48736,9,11.53
1222,2215,19,102.9
1223,22774,10,58.67
1224,45224,44,38.85
1225,39909,16,14.91
1226,42032,23,22.02
1227,12400,1,26.97
1228,9710,29,13.65
1229,20835,22,51.43
1230,17079,33,18.57
1231,1012,28,43.67
1232,22192,33,32.13
1233,43049,11,50.87
1234,26854,11,12.77
1235,49754,37,58.54
1236,32349,24,90.58
1237,4778,44,146.26
1238,28668,5,60.18
1239,3981,13,59.81
1240,29613,2,17.41
1241,38559,11,13.61
1242,33226,48,71.18
1243,38253,31,23.86
1244,41351,1,95.65
1245,9446,8,2.97
1246,27964,50,9.45
1247,26707,10,14.84
1248,32910,4,37.55
